Nvidia;Tarjetas Graficas;RTX 3090 TI RGB GAMING;COP;10350000;rtx_3090_ti_rgb_gaming
MSI;Tarjetas Graficas;RTX 3080 GAMING X TRIO;COP;5250000;rtx_3080_gaming_x_trio
Rog Strix;Tarjetas Graficas;3070 TI ROG STRIX;COP;4350000;3070_ti_rog_strix
Rog Strix;Tarjetas Graficas;RTX 3070 ROG STRIX WHITE;COP;4010000;rtx_3070_rog_strix_white
Rog Strix;Tarjetas Graficas;RTX 3060 ROG STRIX;COP;3150000;rtx_3060_rog_strix
MSI;Tarjetas Graficas;GeForce RTX 3060 Ti VENTUS;COP;3350000;geforce_rtx_3060_ti_ventus
ASUS;Tarjetas Graficas;RTX 3060 PHOENIX 12GB;COP;2950000;rtx_3060_phoenix_12gb
Zotac Gaming;Tarjetas Graficas;RTX 2060 STORM 12GBS;COP;2750000;rtx_2060_storm_12gbs
Gigabyte;Tarjetas Graficas;SUPER GTX 1660 WINDFORCE;COP;1950000;super_gtx_1660_windforce
Palit;Tarjetas Graficas;SUPER GTX 1660 VENTUS XS 6GB MSI;COP;1910000;super_gtx_1660_ventus_xs_6gb_msi
MSI;Tarjetas Graficas;GTX 1660 TI DUAL MSI;COP;2250000;gtx_1660_ti_dual_msi
ASUS;Tarjetas Graficas;RTX 3060 KO GAMING OC RGB 12GB ASUS;COP;2950000;rtx_3060_ko_gaming_oc_rgb_12gb_asus
Gigabyte;Tarjetas Graficas;GTX 1660 TI WINDFORCE;COP;2250000;gtx_1660_ti_windforce
MSI;Tarjetas Graficas;SUPER GTX 1660 GAMING X;COP;2010000;super_gtx_1660_gaming_x
MSI;Tarjetas Graficas;GTX 1650 GAMING X MSI;COP;1510000;gtx_1650_gaming_x_msi
ASUS;Tarjetas Graficas;GTX 1650 TUF GAMING;COP;1490000;gtx_1650_tuf_gaming
MSI;Tarjetas Graficas;GTX 1650 VENTUS XS D6 MSI;COP;1450000;gtx_1650_ventus_xs_d6_msi
ASUS;Tarjetas Graficas;GTX 1650 OC PHOENIX D5 ASUS;COP;1390000;gtx_1650_oc_phoenix_d5_asus
ASUS;Tarjetas Graficas;GTX 1050 TI 4GBS PHOENIX ASUS;COP;1230000;gtx_1050_ti_4gbs_phoenix_asus
Gigabyte;Tarjetas Graficas;GTX 1050 TI OC 1 FAN;COP;1230000;gtx_1050_ti_oc_1_fan
Palit;Tarjetas Graficas;GT 1030 2GBS PALIT;COP;630000;gt_1030_2gbs_palit
Intel;Procesadores;INTEL CORE i9 12900K;COP;2890000;intel_core_i9_12900k
Intel;Procesadores;INTEL CORE i7 12700K;COP;990000;intel_core_i7_12700k
Intel;Procesadores;INTEL CORE i5 12600KF;COP;1510000;intel_core_i5_12600kf
Intel;Procesadores;INTEL i5 12400;COP;1090000;intel_i5_12400
Intel;Procesadores;INTEL CORE i3 12100F;COP;630000;intel_core_i3_12100f
AMD;Procesadores;RYZEN 5 3600;COP;980000;ryzen_5_3600
AMD;Procesadores;RYZEN R5 5600G;COP;990000;ryzen_r5_5600g
AMD;Procesadores;RYZEN 5 5600X;COP;1220000;ryzen_5_5600x
AMD;Procesadores;RYZEN 7 5700G;COP;1100000;ryzen_7_5700g
AMD;Procesadores;RYZEN 7 5800X;COP;1680000;ryzen_7_5800x
AMD;Procesadores;RYZEN R9 5900X;COP;2100000;ryzen_r9_5900x
AMD;Procesadores;RYZEN R9 5950X;COP;2790000;ryzen_r9_5950x
AMD;Procesadores;RYZEN 7 3800XT;COP;1600000;ryzen_7_3800xt
Intel;Procesadores;INTEL CORE i3 10105;COP;700000;intel_core_i3_10105
Intel;Procesadores;INTEL CORE i3 10100F;COP;550000;intel_core_i3_10100f
Intel;Procesadores;INTEL CORE i3 10100;COP;650000;intel_core_i3_10100
Intel;Procesadores;INTEL CORE i5 10400;COP;880000;intel_core_i5_10400
Intel;Procesadores;INTEL CORE i5 11400F;COP;910000;intel_core_i5_11400f
Intel;Procesadores;INTEL CORE i5 11600K;COP;1340000;intel_core_i5_11600k
AMD;Procesadores;RYZEN 5 3400G;COP;719900;ryzen_5_3400g
Logitech;Perifericos;Logitech G203 Color Negro;COP;104000;logitech_g203_color_negro
Razer;Perifericos;Razer Viper mini;COP;149000;razer_viper_mini
Redragon;Perifericos;Redragon Kumara K552;COP;240000;redragon_kumara_k552
SteelSeries;Perifericos;Teclado mecanico steelseries apex pro wireless 60%;COP;1277000;teclado_mecanico_steelseries_apex_pro_wireless_60%
Logitech;Perifericos;Audifonos inhalambricos Logitech G Series G733;COP;535000;audifonos_inhalambricos_logitech_g_series_g733
Onikuma;Perifericos;Audifonos gamer Onikuma K10 PRO;COP;149900;audifonos_gamer_onikuma_k10_pro
EVGA;Perifericos;Logitech G502 HERO;COP;201000;logitech_g502_hero
ASRock;Tarjetas Madre;X570 PHANTOM GAMING 4;COP;980000;x570_phantom_gaming_4
ASUS;Tarjetas Madre;X570 TUF GAMING PLUS WIFI;COP;1120000;x570_tuf_gaming_plus_wifi
MSI;Tarjetas Madre;X570A PRO MSI;COP;890000;x570a_pro_msi
Aorus;Tarjetas Madre;X570 AORUS ELITE WIFI;COP;730000;x570_aorus_elite_wifi
Rog Strix;Tarjetas Madre;X570 ROG CROSSHAIR VIII;COP;2200000;x570_rog_crosshair_viii
ASRock;Tarjetas Madre;X570 STEEL LEGEND RGB;COP;1110000;x570_steel_legend_rgb
Rog Strix;Tarjetas Madre;B550F ROG STRIX GAMING WIFI;COP;990000;b550f_rog_strix_gaming_wifi
Aorus;Tarjetas Madre;B550 AORUS MASTER WIFI;COP;1690000;b550_aorus_master_wifi
Rog Strix;Tarjetas Madre;B550E ROG STRIX GAMING WIFI;COP;1340000;b550e_rog_strix_gaming_wifi
ASUS;Tarjetas Madre;B550MA AC WIFI ASUS;COP;710000;b550ma_ac_wifi_asus
ASUS;Tarjetas Madre;B550M TUF PLUS GAMING WIFI;COP;870000;b550m_tuf_plus_gaming_wifi
ASUS;Tarjetas Madre;B550MK PRIME ASUS;COP;620000;b550mk_prime_asus
Gigabyte;Tarjetas Madre;B550M DS3H GIGABYTE;COP;620000;b550m_ds3h_gigabyte
Aorus;Tarjetas Madre;B550 AORUS PRO V2;COP;1100000;b550_aorus_pro_v2
Gigabyte;Tarjetas Madre;B550MH;COP;840000;b550mh
ASRock;Tarjetas Madre;B550 STEEL LEGEND ASROCK;COP;840000;b550_steel_legend_asrock
Rog Strix;Tarjetas Madre;B450 TUF PLUS GAMING II;COP;630000;b450_tuf_plus_gaming_ii
ASUS;Tarjetas Madre;B450MA II PRIME ASUS;COP;490000;b450ma_ii_prime_asus
ASRock;Tarjetas Madre;B450M STEEL LEGEND RGB;COP;580000;b450m_steel_legend_rgb
Gigabyte;Tarjetas Madre;B450 AORUS PRO WIFI GIGABYTE;COP;730000;b450_aorus_pro_wifi_gigabyte
MSI;Tarjetas Madre;A320MA PRO MAX MSI;COP;380000;a320ma_pro_max_msi
Corsair;Fuentes de Poder;Fuente de poder corsair full modular RM1000w;COP;1375000;fuente_de_poder_corsair_full_modular_rm1000w
Corsair;Fuentes de Poder;Corsair blanco RGB 650 vatios80 PLUS Bronze (WW);COP;550000;corsair_blanco_rgb_650_vatios80_plus_bronze_(ww)
EVGA;Fuentes de Poder;EVGA Supernova 1200 P2 80+ Platinum;COP;1988000;evga_supernova_1200_p2_80+_platinum
EVGA;Fuentes de Poder;Fuente de poder evga 500w br 80 plus bronze;COP;220000;fuente_de_poder_evga_500w_br_80_plus_bronze
XPG;Fuentes de Poder;Fuente de poder xpg pylon 550w 80 plus bronze;COP;285000;fuente_de_poder_xpg_pylon_550w_80_plus_bronze
Corsair;Fuentes de Poder;Fuente de poder corsair 450w 80 plus bronze;COP;182000;fuente_de_poder_corsair_450w_80_plus_bronze
Samsung;Almacenamientos;SOLIDO (M2) NVMe 1TB 970 EVO PLUS;COP;760000;solido_(m2)_nvme_1tb_970_evo_plus
XPG;Almacenamientos;SOLIDO (M2) NVMe 1TB RGB XPG S40G;COP;660000;solido_(m2)_nvme_1tb_rgb_xpg_s40g
XPG;Almacenamientos;SOLIDO (M2) NVMe 1TB S20 RGB XPG;COP;620000;solido_(m2)_nvme_1tb_s20_rgb_xpg
Samsung;Almacenamientos;SOLIDO (M2) NVMe 500GB 980PRO SAMSUNG;COP;600000;solido_(m2)_nvme_500gb_980pro_samsung
XPG;Almacenamientos;SOLIDO (M2) NVMe 512GB S70 BLADE XPG;COP;480000;solido_(m2)_nvme_512gb_s70_blade_xpg
Patriot;Almacenamientos;SOLIDO (M2) NVMe 1TB VIPER 110 PATRIOT;COP;640000;solido_(m2)_nvme_1tb_viper_110_patriot
Western Digital;Almacenamientos;SOLIDO M2 500GB BLUE SN570 Western Digital;COP;420000;solido_m2_500gb_blue_sn570_western_digital
Seagate;Almacenamientos;DISCO 3 TERAS PC 64MB 7200RPM WESTERN DIGITAL PURPURA;COP;390000;disco_3_teras_pc_64mb_7200rpm_western_digital_purpura
Western Digital;Almacenamientos;DISCO 4 TERAS PC 64MB 7200RPM SEAGATE;COP;470000;disco_4_teras_pc_64mb_7200rpm_seagate
Western Digital;Almacenamientos;DISCO 2 TERA PC 64MB 7200RPM WESTERN DIGITAL;COP;320000;disco_2_tera_pc_64mb_7200rpm_western_digital
Toshiba;Almacenamientos;DISCO 1 TERA PC 64MB 7200RPM TOSHIBA;COP;250000;disco_1_tera_pc_64mb_7200rpm_toshiba
Crucial;Almacenamientos;Crucial BX500 SSD;COP;980000;crucial_bx500_ssd
Kingston;Almacenamientos;SOLIDO SATA (SSD) 960GB KINGSTON A400;COP;560000;solido_sata_(ssd)_960gb_kingston_a400
Western Digital;Almacenamientos;WD Green 2.5 SATA SSD;COP;220000;wd_green_2.5_sata_ssd
Crucial;Almacenamientos;SOLIDO SATA 500GB MX500 CRUCIAL;COP;360000;solido_sata_500gb_mx500_crucial
Gigabyte;Almacenamientos;SOLIDO SATA (SSD) 240GB GIGABYTE;COP;220000;solido_sata_(ssd)_240gb_gigabyte
Western Digital;Almacenamientos;SOLIDO SATA (SSD) 500GB WESTERN DIGITAL BLUE;COP;360000;solido_sata_(ssd)_500gb_western_digital_blue
Gigabyte;Almacenamientos;SOLIDO (M2) NVMe 256GB GIGABYTE;COP;240000;solido_(m2)_nvme_256gb_gigabyte
Western Digital;Almacenamientos;SOLIDO (M2) NVMe 240GB GREEN SN350 WESTERN DIGITAL;COP;240000;solido_(m2)_nvme_240gb_green_sn350_western_digital
Patriot;Almacenamientos;SOLIDO (M2) NVMe 256GB P300 PATRIOT;COP;140000;solido_(m2)_nvme_256gb_p300_patriot
RXE;Cases;Case Gamer Negro Pc Atx Micro Atx Vidrio Rxe 04;COP;448000;case_gamer_negro_pc_atx_micro_atx_vidrio_rxe_04
Cooler Master;Cases;Cooler master masterbox td500 mesh black;COP;349000;cooler_master_masterbox_td500_mesh_black
Redragon;Cases;Redragon TAILGATE GC702;COP;535000;redragon_tailgate_gc702
Thermaltake;Cases;Thermaltake tower 900 E atx Vertical;COP;2699000;thermaltake_tower_900_e_atx_vertical
Kediers;Cases;KEDIERS PC Gaming Case Open;COP;1353700;kediers_pc_gaming_case_open
Corsair;Cases;CORSAIR CRYSTAL SERIES 570X RGB;COP;216000;corsair_crystal_series_570x_rgb
